policy,(All),,,,,
losscause_desc,(All),,,,,
,,,,,,
Sum of indemnity_paid,Column Labels,,,,,
Row Labels,2017,2018,2019,2020,2021,Grand Total
95969,,"18,783,347",,,,"18,783,347"
PARADISE,,"18,783,347",,,,"18,783,347"
CA,,"18,783,347",,,,"18,783,347"
90265,,"13,996,689",,,,"13,996,689"
MALIBU,,"13,996,689",,,,"13,996,689"
CA,,"13,996,689",,,,"13,996,689"
31415,,"363,840","31,531","5,394,480",,"5,789,851"
SAVANNAH,,"363,840","31,531","5,394,480",,"5,789,851"
GA,,"363,840","31,531","5,394,480",,"5,789,851"
95928,,"5,615,705",,,,"5,615,705"
CHICO,,"5,615,705",,,,"5,615,705"
CA,,"5,615,705",,,,"5,615,705"
95965,,"5,515,599",,,,"5,515,599"
BUTTE VALLEY,,"143,267",,,,"143,267"
CA,,"143,267",,,,"143,267"
OROVILLE,,"4,603,500",,,,"4,603,500"
CA,,"4,603,500",,,,"4,603,500"
YANKEE HILL,,"768,832",,,,"768,832"
CA,,"768,832",,,,"768,832"
95954,,"3,409,434",,,,"3,409,434"
MAGALIA,,"3,409,434",,,,"3,409,434"
CA,,"3,409,434",,,,"3,409,434"
94515,"2,298,624",,,"757,956",,"3,056,580"
CALISTOGA,"2,298,624",,,"757,956",,"3,056,580"
CA,"2,298,624",,,"757,956",,"3,056,580"
80447,,,,"2,558,318",,"2,558,318"
GRAND LAKE,,,,"2,558,318",,"2,558,318"
CO,,,,"2,558,318",,"2,558,318"
93643,"2,512,199",,,,,"2,512,199"
NORTH FORK,"2,512,199",,,,,"2,512,199"
CA,"2,512,199",,,,,"2,512,199"
95404,"2,302,416",,,"1,606",,"2,304,023"
SANTA ROSA,"2,302,416",,,"1,606",,"2,304,023"
CA,"2,302,416",,,"1,606",,"2,304,023"
94574,,,,"2,239,211",,"2,239,211"
SAINT HELENA,,,,"2,239,211",,"2,239,211"
CA,,,,"2,239,211",,"2,239,211"
94558,"2,042,410",,,,,"2,042,410"
NAPA,"2,042,410",,,,,"2,042,410"
CA,"2,042,410",,,,,"2,042,410"
95485,,"1,865,616",,,,"1,865,616"
UPPER LAKE,,"1,865,616",,,,"1,865,616"
CA,,"1,865,616",,,,"1,865,616"
31406,,"455,197","1,214","1,015,274","20,738","1,492,423"
SAVANNAH,,"455,197","1,214","1,015,274","20,738","1,492,423"
GA,,"455,197","1,214","1,015,274","20,738","1,492,423"
95966,"1,025,592",,,"424,449",,"1,450,041"
OROVILLE,"1,025,592",,,"424,449",,"1,450,041"
CA,"1,025,592",,,"424,449",,"1,450,041"
93664,,,,"1,258,799",,"1,258,799"
SHAVER LAKE,,,,"1,258,799",,"1,258,799"
CA,,,,"1,258,799",,"1,258,799"
31401,"216,018","15,527","728,903","289,716","2,500","1,252,663"
SAVANNAH,"216,018","15,527","728,903","289,716","2,500","1,252,663"
GA,"216,018","15,527","728,903","289,716","2,500","1,252,663"
19963,"644,900",,"469,225","129,809",,"1,243,934"
MILFORD,"644,900",,"469,225",,,"1,114,125"
DE,"644,900",,"469,225",,,"1,114,125"
SLAUGHTER BEACH,,,,"129,809",,"129,809"
DE,,,,"129,809",,"129,809"
35150,"30,000",,,"1,157,000",,"1,187,000"
SYCALAUGA,"30,000",,,,,"30,000"
AL,"30,000",,,,,"30,000"
SYLACAUGA,,,,"1,157,000",,"1,157,000"
AL,,,,"1,157,000",,"1,157,000"
7039,,,,"1,173,036",,"1,173,036"
LIVINGSTON,,,,"1,173,036",,"1,173,036"
NJ,,,,"1,173,036",,"1,173,036"
28227,,,,,"1,153,619","1,153,619"
MINT HILL,,,,,"1,153,619","1,153,619"
NC,,,,,"1,153,619","1,153,619"
96033,,"1,112,127",,,,"1,112,127"
FRENCH GULCH,,"1,112,127",,,,"1,112,127"
CA,,"1,112,127",,,,"1,112,127"
25570,,,,"1,086,817",,"1,086,817"
WAYNE,,,,"1,086,817",,"1,086,817"
WV,,,,"1,086,817",,"1,086,817"
93001,"1,047,502",,,,,"1,047,502"
VENTURA,"1,047,502",,,,,"1,047,502"
CA,"1,047,502",,,,,"1,047,502"
94553,"1,029,530",,,,,"1,029,530"
MARTINEZ,"1,029,530",,,,,"1,029,530"
CA,"1,029,530",,,,,"1,029,530"
96001,,"1,002,830",,,,"1,002,830"
REDDING,,"1,002,830",,,,"1,002,830"
CA,,"1,002,830",,,,"1,002,830"
70072,,,,"280,344","722,128","1,002,472"
MARRERO,,,,"280,344","722,128","1,002,472"
LA,,,,"280,344","722,128","1,002,472"
77554,,,,"1,002,216",0,"1,002,216"
GALVESTON,,,,"1,002,216",0,"1,002,216"
TX,,,,"1,002,216",0,"1,002,216"
93924,,,,"956,365",,"956,365"
CARMEL VALLEY,,,,"956,365",,"956,365"
CA,,,,"956,365",,"956,365"
80446,,,,"940,384",,"940,384"
GRANBY,,,,"940,384",,"940,384"
CO,,,,"940,384",,"940,384"
91301,,"888,807",,,,"888,807"
AGOURA,,"490,042",,,,"490,042"
CA,,"490,042",,,,"490,042"
AGOURA HILLS,,"398,765",,,,"398,765"
CA,,"398,765",,,,"398,765"
94508,,,,"888,179",,"888,179"
ANGWIN,,,,"888,179",,"888,179"
CA,,,,"888,179",,"888,179"
95490,"886,199",,,,,"886,199"
WILLITS,"886,199",,,,,"886,199"
CA,"886,199",,,,,"886,199"
31419,,"162,503","236,432","354,227","89,690","842,852"
SAVANNAH,,"162,503","236,432","354,227","89,690","842,852"
GA,,"162,503","236,432","354,227","89,690","842,852"
31078,,,,,"841,000","841,000"
ROBERTA,,,,,"841,000","841,000"
GA,,,,,"841,000","841,000"
95554,,,"828,575",,,"828,575"
MYERS FLAT,,,"828,575",,,"828,575"
CA,,,"828,575",,,"828,575"
98370,"141,504","686,418",,,,"827,922"
POULSBO,"141,504","686,418",,,,"827,922"
WA,"141,504","686,418",,,,"827,922"
36558,,,"800,083",,,"800,083"
MILLRY,,,"800,083",,,"800,083"
AL,,,"800,083",,,"800,083"
95688,,,,"775,225",,"775,225"
VACAVILLE,,,,"775,225",,"775,225"
CA,,,,"775,225",,"775,225"
93605,,,,"769,340",,"769,340"
BIG CREEK,,,,"769,340",,"769,340"
CA,,,,"769,340",,"769,340"
6615,,,,"700,319",,"700,319"
STRATFORD,,,,"700,319",,"700,319"
CT,,,,"700,319",,"700,319"
8226,,"120,298","564,304",,,"684,602"
OCEAN CITY,,"120,298","564,304",,,"684,602"
NJ,,"120,298","564,304",,,"684,602"
29550,"461,070",,"123,084","87,042",,"671,196"
HARTSVILLE,"461,070",,"123,084","87,042",,"671,196"
SC,"461,070",,"123,084","87,042",,"671,196"
95441,"661,335",,,,,"661,335"
GEYSERVILLE,"661,335",,,,,"661,335"
CA,"661,335",,,,,"661,335"
95403,"653,914",,,,,"653,914"
SANTA ROSA,"653,914",,,,,"653,914"
CA,"653,914",,,,,"653,914"
77662,"649,816",,,977,,"650,793"
VIDOR,"649,816",,,977,,"650,793"
TX,"649,816",,,977,,"650,793"
93265,,,,"647,493",,"647,493"
SPRINGVILLE,,,,"647,493",,"647,493"
CA,,,,"647,493",,"647,493"
92549,,0,"637,050",,,"637,050"
IDYLLWILD,,0,"637,050",,,"637,050"
CA,,0,"637,050",,,"637,050"
93644,"631,599",,,,,"631,599"
OAKHURST,"631,599",,,,,"631,599"
CA,"631,599",,,,,"631,599"
77550,,"21,264","567,262","35,441",,"623,966"
GALVESTON,,"21,264","567,262","35,441",,"623,966"
TX,,"21,264","567,262","35,441",,"623,966"
71832,"612,353",,,,,"612,353"
DE QUEEN,"612,353",,,,,"612,353"
AR,"612,353",,,,,"612,353"
75766,,,,,"585,933","585,933"
JACKSONVILLE,,,,,"585,933","585,933"
TX,,,,,"585,933","585,933"
99502,,,,"567,937",,"567,937"
ANCHORAGE,,,,"567,937",,"567,937"
AK,,,,"567,937",,"567,937"
77060,,,"567,800",,,"567,800"
HOUSTON,,,"567,800",,,"567,800"
TX,,,"567,800",,,"567,800"
33157,"109,374",,"375,044",,"81,812","566,230"
MIAMI,"109,374",,,,"81,812","191,186"
FL,"109,374",,,,"81,812","191,186"
PALMETTO BAY,,,"375,044",,,"375,044"
FL,,,"375,044",,,"375,044"
96107,,,,"564,684",,"564,684"
COLEVILLE,,,,"564,684",,"564,684"
CA,,,,"564,684",,"564,684"
77566,,,,,"555,205","555,205"
LAKE JACKSON,,,,,"555,205","555,205"
TX,,,,,"555,205","555,205"
38654,,,,"549,942",,"549,942"
OLIVE BRANCH,,,,"549,942",,"549,942"
MS,,,,"549,942",,"549,942"
33037,,0,,,"545,066","545,066"
KEY LARGO,,0,,,"545,066","545,066"
FL,,0,,,"545,066","545,066"
39564,,,"290,481","252,400",,"542,881"
OCEAN SPRINGS,,,"290,481","252,400",,"542,881"
MS,,,"290,481","252,400",,"542,881"
91302,,"541,023",,,,"541,023"
CALABASAS,,"421,403",,,,"421,403"
CA,,"421,403",,,,"421,403"
HIDDEN HILLS,,"119,619",,,,"119,619"
CA,,"119,619",,,,"119,619"
95453,,"531,341",,,,"531,341"
LAKEPORT,,"531,341",,,,"531,341"
CA,,"531,341",,,,"531,341"
77015,,"519,806","10,434",,,"530,240"
HOUSTON,,"519,806",,,,"519,806"
TX,,"519,806",,,,"519,806"
"HOUSTON, HARRIS CO.",,,"10,434",,,"10,434"
TX,,,"10,434",,,"10,434"
65785,,"526,890",,,,"526,890"
STOCKTON,,"526,890",,,,"526,890"
MO,,"526,890",,,,"526,890"
95916,,"27,580",,"492,815",,"520,395"
BERRY CREEK,,"27,580",,"492,815",,"520,395"
CA,,"27,580",,"492,815",,"520,395"
83115,,"507,915",,,,"507,915"
DANIEL,,"507,915",,,,"507,915"
WY,,"507,915",,,,"507,915"
95975,"506,536",,,,,"506,536"
ROUGH AND READY,"506,536",,,,,"506,536"
CA,"506,536",,,,,"506,536"
8609,,,,"492,092",,"492,092"
HAMILTON,,,,"492,092",,"492,092"
NJ,,,,"492,092",,"492,092"
75706,,,,"484,800",,"484,800"
TYLER,,,,"484,800",,"484,800"
TX,,,,"484,800",,"484,800"
31520,0,"330,539","42,594","25,809","80,504","479,447"
BRUNSWICK,0,"330,539","42,594","25,809","80,504","479,447"
GA,0,"330,539","42,594","25,809","80,504","479,447"
96003,,"467,829",,,,"467,829"
REDDING,,"467,829",,,,"467,829"
CA,,"467,829",,,,"467,829"
95563,,"466,175",,,,"466,175"
SALYER,,"466,175",,,,"466,175"
CA,,"466,175",,,,"466,175"
20176,,"465,560",,,,"465,560"
LEESBURG,,"465,560",,,,"465,560"
VA,,"465,560",,,,"465,560"
7748,,"463,850",,,,"463,850"
MIDDLETOWN,,"463,850",,,,"463,850"
NJ,,"463,850",,,,"463,850"
47978,,,,"454,356",,"454,356"
RENSSELAER,,,,"454,356",,"454,356"
IN,,,,"454,356",,"454,356"
6519,,,,,"445,000","445,000"
NEW HAVEN,,,,,"445,000","445,000"
CT,,,,,"445,000","445,000"
70058,,,"3,500",,"439,667","443,167"
HARVEY,,,"3,500",,"439,667","443,167"
LA,,,"3,500",,"439,667","443,167"
94114,,,"440,689",,,"440,689"
SAN FRANCISCO,,,"440,689",,,"440,689"
CA,,,"440,689",,,"440,689"
33161,"215,733",,"11,040","90,299","113,433","430,505"
BISCAYNE PARK,,,,,"82,126","82,126"
FL,,,,,"82,126","82,126"
MIAMI,"215,733",,,"90,299",,"306,032"
FL,"215,733",,,"90,299",,"306,032"
NORTH MIAMI,,,"11,040",,"31,307","42,347"
FL,,,"11,040",,"31,307","42,347"
7724,"1,430",,"420,642",,,"422,072"
EATONTOWN,"1,430",,"420,642",,,"422,072"
NJ,"1,430",,"420,642",,,"422,072"
74884,,,"421,284",,,"421,284"
WEWOKA,,,"421,284",,,"421,284"
OK,,,"421,284",,,"421,284"
6401,"273,012","145,083",,,,"418,095"
ANSONIA,"273,012","145,083",,,,"418,095"
CT,"273,012","145,083",,,,"418,095"
8735,,"417,709",,,,"417,709"
LAVALLETTE,,"417,709",,,,"417,709"
NJ,,"417,709",,,,"417,709"
18414,,"406,945",,,,"406,945"
DALTON,,"406,945",,,,"406,945"
PA,,"406,945",,,,"406,945"
95451,"403,942",0,,,,"403,942"
KELSEYVILLE,"403,942",0,,,,"403,942"
CA,"403,942",0,,,,"403,942"
1880,,"400,040",,,,"400,040"
WAKEFIELD,,"400,040",,,,"400,040"
MA,,"400,040",,,,"400,040"
7701,"396,577",,,,,"396,577"
RED BANK,"396,577",,,,,"396,577"
NJ,"396,577",,,,,"396,577"
36613,,,"392,118",,,"392,118"
EIGHT MILE,,,"392,118",,,"392,118"
AL,,,"392,118",,,"392,118"
32960,"161,476","229,415",,,,"390,891"
VERO BEACH,"161,476","229,415",,,,"390,891"
FL,"161,476","229,415",,,,"390,891"
55016,,,,,"390,459","390,459"
COTTAGE GROVE,,,,,"390,459","390,459"
MN,,,,,"390,459","390,459"
23462,,"2,395",,"384,020",,"386,415"
VIRGINIA BEACH,,"2,395",,"384,020",,"386,415"
VA,,"2,395",,"384,020",,"386,415"
70116,,"68,768","308,507",0,0,"377,275"
NEW ORLEANS,,"68,768","308,507",0,0,"377,275"
LA,,"68,768","308,507",0,0,"377,275"
43551,,"375,389",,,,"375,389"
PERRYSBURG,,"375,389",,,,"375,389"
OH,,"375,389",,,,"375,389"
8322,"372,720",,,,,"372,720"
FRANKLINVILLE,"372,720",,,,,"372,720"
NJ,"372,720",,,,,"372,720"
25918,"372,041",,,,,"372,041"
SHADY SPRING,"372,041",,,,,"372,041"
WV,"372,041",,,,,"372,041"
55407,,,,"369,582",,"369,582"
MINNEAPOLIS,,,,"369,582",,"369,582"
MN,,,,"369,582",,"369,582"
99149,,,,"367,943",,"367,943"
MALDEN,,,,"367,943",,"367,943"
WA,,,,"367,943",,"367,943"
29403,"10,897",,,"356,548",,"367,445"
CHARLESTON,"10,897",,,"356,548",,"367,445"
SC,"10,897",,,"356,548",,"367,445"
77901,,,,,"363,087","363,087"
VICTORIA,,,,,"363,087","363,087"
TX,,,,,"363,087","363,087"
36784,,"218,114","140,431","3,464",,"362,009"
THOMASVILLE,,"218,114","140,431","3,464",,"362,009"
AL,,"218,114","140,431","3,464",,"362,009"
31410,"144,534","9,251","197,698",,"4,037","355,520"
SAVANNAH,"144,534","9,251","197,698",,"4,037","355,520"
GA,"144,534","9,251","197,698",,"4,037","355,520"
92352,,"355,000",,,,"355,000"
LAKE ARROWHEAD,,"355,000",,,,"355,000"
CA,,"355,000",,,,"355,000"
77083,,"17,391",,"332,140",,"349,531"
HOUSTON,,"17,391",,"332,140",,"349,531"
TX,,"17,391",,"332,140",,"349,531"
33603,"120,000","227,679",,,,"347,679"
TAMPA,"120,000","227,679",,,,"347,679"
FL,"120,000","227,679",,,,"347,679"
68516,,"344,143",,,,"344,143"
LINCOLN,,"344,143",,,,"344,143"
NE,,"344,143",,,,"344,143"
30817,,"340,547",,,,"340,547"
LINCOLNTON,,"340,547",,,,"340,547"
GA,,"340,547",,,,"340,547"
77568,"24,371","189,350",,"122,403",,"336,124"
LA MARQUE,"24,371","189,350",,"122,403",,"336,124"
TX,"24,371","189,350",,"122,403",,"336,124"
8401,,"47,984","285,138",,,"333,122"
ATLANTIC CITY,,"47,984","285,138",,,"333,122"
NJ,,"47,984","285,138",,,"333,122"
2562,,,,"330,924",,"330,924"
SAGAMORE BEACH,,,,"330,924",,"330,924"
MA,,,,"330,924",,"330,924"
99141,,,"324,600",,,"324,600"
KETTLE FALLS,,,"324,600",,,"324,600"
WA,,,"324,600",,,"324,600"
6320,,,,"321,056",,"321,056"
NEW LONDON,,,,"321,056",,"321,056"
CT,,,,"321,056",,"321,056"
36608,,,,"321,002",,"321,002"
MOBILE,,,,"321,002",,"321,002"
AL,,,,"321,002",,"321,002"
11363,,,,,"316,686","316,686"
DOUGLASTON,,,,,"316,686","316,686"
NY,,,,,"316,686","316,686"
85338,,,"313,704",,,"313,704"
GOODYEAR,,,"313,704",,,"313,704"
AZ,,,"313,704",,,"313,704"
18224,,"313,000",,,,"313,000"
FREELAND,,"313,000",,,,"313,000"
PA,,"313,000",,,,"313,000"
12189,,,,"311,571",,"311,571"
WATERVLIET,,,,"311,571",,"311,571"
NY,,,,"311,571",,"311,571"
46511,,"309,464",,,,"309,464"
CULVER,,"309,464",,,,"309,464"
IN,,"309,464",,,,"309,464"
99362,,,"258,000","50,905",0,"308,905"
WALLA WALLA,,,"258,000","50,905",0,"308,905"
WA,,,"258,000","50,905",0,"308,905"
77065,,"308,355",,,,"308,355"
HOUSTON,,"308,355",,,,"308,355"
TX,,"308,355",,,,"308,355"
89429,,"300,848",,,,"300,848"
SILVER SPRINGS,,"300,848",,,,"300,848"
NV,,"300,848",,,,"300,848"
7731,,"300,254",,,,"300,254"
HOWELL,,"300,254",,,,"300,254"
NJ,,"300,254",,,,"300,254"
29512,,,"96,000",,"200,000","296,000"
BENNETTSVILLE,,,"96,000",,"200,000","296,000"
SC,,,"96,000",,"200,000","296,000"
70001,,"167,790","126,514",,,"294,304"
METAIRIE,,"167,790","126,514",,,"294,304"
LA,,"167,790","126,514",,,"294,304"
8096,,,"294,217",,,"294,217"
WOODBURY,,,"294,217",,,"294,217"
NJ,,,"294,217",,,"294,217"
71635,,,"291,500",,,"291,500"
CROSSETT,,,"291,500",,,"291,500"
AR,,,"291,500",,,"291,500"
7018,"290,223",,,,,"290,223"
EAST ORANGE,"290,223",,,,,"290,223"
NJ,"290,223",,,,,"290,223"
91307,,"289,214",,,,"289,214"
BELL CANYON,,"289,214",,,,"289,214"
CA,,"289,214",,,,"289,214"
35953,"288,893",,,,,"288,893"
ASHVILLE,"288,893",,,,,"288,893"
AL,"288,893",,,,,"288,893"
98250,,,,,"287,500","287,500"
SAN JUAN ISLAND,,,,,"287,500","287,500"
WA,,,,,"287,500","287,500"
33525,,"279,066",,,,"279,066"
DADE CITY,,"279,066",,,,"279,066"
FL,,"279,066",,,,"279,066"
29150,"277,479",,,,,"277,479"
SUMTER,"277,479",,,,,"277,479"
SC,"277,479",,,,,"277,479"
7712,,,"272,444",,,"272,444"
ASBURY PARK,,,"272,444",,,"272,444"
NJ,,,"272,444",,,"272,444"
8247,,"270,232",,,,"270,232"
STONE HARBOR,,"270,232",,,,"270,232"
NJ,,"270,232",,,,"270,232"
33309,,,"168,228","101,938",,"270,166"
FORT LAUDERDALE,,,"168,228","101,938",,"270,166"
FL,,,"168,228","101,938",,"270,166"
86320,,,"267,738",,,"267,738"
ASH FORK,,,"267,738",,,"267,738"
AZ,,,"267,738",,,"267,738"
95983,,,"264,500",,,"264,500"
TAYLORSVILLE,,,"264,500",,,"264,500"
CA,,,"264,500",,,"264,500"
29516,,,"260,305",,,"260,305"
BLENHEIM,,,"260,305",,,"260,305"
SC,,,"260,305",,,"260,305"
77471,"258,988",,,,,"258,988"
ROSENBERG,"258,988",,,,,"258,988"
TX,"258,988",,,,,"258,988"
33160,,,,,"258,920","258,920"
SUNNY ISLES BEACH,,,,,"258,920","258,920"
FL,,,,,"258,920","258,920"
55420,,"258,262",,,,"258,262"
BLOOMINGTON,,"258,262",,,,"258,262"
MN,,"258,262",,,,"258,262"
29625,,,"257,837",,,"257,837"
ANDERSON,,,"257,837",,,"257,837"
SC,,,"257,837",,,"257,837"
95605,,,"256,610",,,"256,610"
RIVER BANK,,,"256,610",,,"256,610"
CA,,,"256,610",,,"256,610"
6604,,,,,"255,979","255,979"
BRIDGEPORT,,,,,"255,979","255,979"
CT,,,,,"255,979","255,979"
70501,,,"255,511",,,"255,511"
LAFAYETTE,,,"255,511",,,"255,511"
LA,,,"255,511",,,"255,511"
85037,,"254,909",,,,"254,909"
PHOENIX,,"254,909",,,,"254,909"
AZ,,"254,909",,,,"254,909"
90049,,,"254,335",,,"254,335"
LOS ANGELES,,,"254,335",,,"254,335"
CA,,,"254,335",,,"254,335"
11722,,,,,"254,204","254,204"
CENTRAL ISLIP,,,,,"254,204","254,204"
NY,,,,,"254,204","254,204"
7734,,,"253,958",,,"253,958"
KEANSBURG,,,"253,958",,,"253,958"
NJ,,,"253,958",,,"253,958"
33189,,,,,"253,292","253,292"
CUTLER BAY,,,,,"253,292","253,292"
FL,,,,,"253,292","253,292"
39563,"49,671",,,"201,000",,"250,671"
MOSS POINT,"49,671",,,"201,000",,"250,671"
MS,"49,671",,,"201,000",,"250,671"
77056,,,,"249,023",,"249,023"
HOUSTON,,,,"249,023",,"249,023"
TX,,,,"249,023",,"249,023"
93023,"248,460",,,,,"248,460"
OJAI,"248,460",,,,,"248,460"
CA,"248,460",,,,,"248,460"
75601,,,,"247,469",,"247,469"
LONGVIEW,,,,"247,469",,"247,469"
TX,,,,"247,469",,"247,469"
55412,,"246,551",,,,"246,551"
MINNEAPOLIS,,"246,551",,,,"246,551"
MN,,"246,551",,,,"246,551"
77072,,,,,"245,387","245,387"
HOUSTON,,,,,"245,387","245,387"
TX,,,,,"245,387","245,387"
74701,,"244,708",,,,"244,708"
DURANT,,"244,708",,,,"244,708"
OK,,"244,708",,,,"244,708"
32526,"244,490",,,,,"244,490"
PENSACOLA,"244,490",,,,,"244,490"
FL,"244,490",,,,,"244,490"
97413,,,,"242,225",,"242,225"
BLUE RIVER,,,,"242,225",,"242,225"
OR,,,,"242,225",,"242,225"
74074,,"240,000",,,,"240,000"
STILLWATER,,"240,000",,,,"240,000"
OK,,"240,000",,,,"240,000"
11977,"239,980",,,,,"239,980"
WESTHAMPTON,"239,980",,,,,"239,980"
NY,"239,980",,,,,"239,980"
35085,"238,000",,,,,"238,000"
JEMISON,"238,000",,,,,"238,000"
AL,"238,000",,,,,"238,000"
74352,,,"235,231",,,"235,231"
LOCUST GROVE,,,"235,231",,,"235,231"
OK,,,"235,231",,,"235,231"
14303,,,,,"235,101","235,101"
NIAGARA FALLS,,,,,"235,101","235,101"
NY,,,,,"235,101","235,101"
95595,"234,224",,,,,"234,224"
ZENIA,"234,224",,,,,"234,224"
CA,"234,224",,,,,"234,224"
47842,,,"233,847",,,"233,847"
CLINTON,,,"233,847",,,"233,847"
IN,,,"233,847",,,"233,847"
36420,"233,289",,,,,"233,289"
ANDALUSIA,"233,289",,,,,"233,289"
AL,"233,289",,,,,"233,289"
90046,"229,724",,,,,"229,724"
LOS ANGELES,"229,724",,,,,"229,724"
CA,"229,724",,,,,"229,724"
29118,"229,701",,,,,"229,701"
ORANGEBURG,"229,701",,,,,"229,701"
SC,"229,701",,,,,"229,701"
39581,,,"227,500",,,"227,500"
PASCAGOULA,,,"227,500",,,"227,500"
MS,,,"227,500",,,"227,500"
8088,,"226,254",,,,"226,254"
SOUTHAMPTON,,"226,254",,,,"226,254"
NJ,,"226,254",,,,"226,254"
70084,,,,,"224,286","224,286"
RESERVE,,,,,"224,286","224,286"
LA,,,,,"224,286","224,286"
8852,,,,"220,271",,"220,271"
MONMOUTH JCTN,,,,"220,271",,"220,271"
NJ,,,,"220,271",,"220,271"
71457,,,"218,800",,,"218,800"
